cidades;base;tempo
005;tsrn;07.7060054405
010;tsrn;04.1954973044
015;tsrn;03.4899598247
020;tsrn;03.1228336373
025;tsrn;02.9660266068
030;tsrn;03.0768352103
035;tsrn;02.8352393277
040;tsrn;02.8891704362
045;tsrn;02.8596606175
050;tsrn;02.7600071480
055;tsrn;02.8498225050
060;tsrn;02.6894705785
065;tsrn;02.9262667661
070;tsrn;02.9933894287
075;tsrn;02.8969973177
080;tsrn;02.9412074507
085;tsrn;02.9456844519
090;tsrn;02.9942899233
095;tsrn;03.0853787116
100;tsrn;03.1666995549
005;tprn;03.1673360107
010;tprn;03.0162971961
015;tprn;03.1151016876
020;tprn;03.1691342937
025;tprn;03.3440424683
030;tprn;03.5735950861
035;tprn;03.3472245177
040;tprn;03.2078168697
045;tprn;03.1017039423
050;tprn;03.2452875681
055;tprn;03.2813650701
060;tprn;03.2570212704
065;tprn;03.3525532013
070;tprn;03.3733009080
075;tprn;03.3643671077
080;tprn;03.4663896481
085;tprn;03.4495554928
090;tprn;03.4559702996
095;tprn;03.4992566868
100;tprn;03.6615710969
005;ntsp;00.4265060241
010;ntsp;00.7360259136
015;ntsp;01.0780417765
020;ntsp;01.4392442851
025;ntsp;01.5953747174
030;ntsp;01.9733245988
035;ntsp;01.9742025358
040;ntsp;02.0152355952
045;ntsp;02.1695457501
050;ntsp;02.1449493982
055;ntsp;02.1888587825
060;ntsp;02.2345980516
065;ntsp;02.2619800524
070;ntsp;02.2471053280
075;ntsp;02.2976919489
080;ntsp;02.3185342676
085;ntsp;02.2836802703
090;ntsp;02.2698556279
095;ntsp;02.2923617647
100;ntsp;02.3008383034
005;rpsp;01.0376725838
010;rpsp;01.0237700517
015;rpsp;01.2077687558
020;rpsp;01.4182171057
025;rpsp;01.4150310304
030;rpsp;01.6990158260
035;rpsp;01.6722322153
040;rpsp;01.8150534585
045;rpsp;02.0002439481
050;rpsp;01.8242068066
055;rpsp;01.9009951302
060;rpsp;01.8452092313
065;rpsp;01.9743630169
070;rpsp;01.9940294440
075;rpsp;01.9785021075
080;rpsp;01.9672601626
085;rpsp;01.9501067541
090;rpsp;01.9666273853
095;rpsp;02.0212304558
100;rpsp;01.9898735921
005;ntef;10.6626506024
010;ntef;18.4006478389
015;ntef;26.9510444121
020;ntef;35.9811071264
025;ntef;39.8843679360
030;ntef;49.3331149712
035;ntef;49.3550633957
040;ntef;50.3808898800
045;ntef;54.2386437515
050;ntef;53.6237349539
055;ntef;54.7214695624
060;ntef;55.8649512904
065;ntef;56.5495013099
070;ntef;56.1776332009
075;ntef;57.4422987222
080;ntef;57.9633566896
085;ntef;57.0920067563
090;ntef;56.7463906978
095;ntef;57.3090441168
100;ntef;57.5209575854
005;rpef;25.9418145957
010;rpef;25.5942512920
015;rpef;30.1942188940
020;rpef;35.4554276430
025;rpef;35.3757757611
030;rpef;42.4753956506
035;rpef;41.8058053821
040;rpef;45.3763364636
045;rpef;50.0060987019
050;rpef;45.6051701639
055;rpef;47.5248782553
060;rpef;46.1302307830
065;rpef;49.3590754235
070;rpef;49.8507361002
075;rpef;49.4625526868
080;rpef;49.1815040640
085;rpef;48.7526688520
090;rpef;49.1656846327
095;rpef;50.5307613947
100;rpef;49.7468398030
